iter	Logloss
0	0.688726955
1	0.6850055589
2	0.6811531915
3	0.6767381032
4	0.6719693078
5	0.6678810649
6	0.6636458503
7	0.659743256
8	0.655919181
9	0.6520926687
10	0.6476541625
11	0.6446327633
12	0.640938335
13	0.637327724
14	0.633653005
15	0.630458196
16	0.6268786324
17	0.6238467958
18	0.6209246318
19	0.6184045474
20	0.6147574849
21	0.6118261549
22	0.6092090077
23	0.6053125593
24	0.6020265685
25	0.599503941
26	0.5963220596
27	0.5933983061
28	0.5902293523
29	0.5867653423
30	0.5830754174
31	0.5802135468
32	0.5774693489
33	0.5755033493
34	0.5731364356
35	0.5705096987
36	0.5678044425
37	0.5654102431
38	0.5626721382
39	0.5601707035
40	0.5574119356
41	0.5550015767
42	0.5523530112
43	0.5500929621
44	0.5478290982
45	0.5454912715
46	0.5438143942
47	0.5417175293
48	0.5392065048
49	0.5370130539
50	0.5348304113
51	0.5331077046
52	0.5304599338
53	0.5287203789
54	0.5266395675
55	0.5243897438
56	0.5225577354
57	0.5207484563
58	0.5183405876
59	0.5163708793
60	0.5145657327
61	0.5132242839
62	0.5118366877
63	0.5100918876
64	0.5081369082
65	0.5065751606
66	0.5045751466
67	0.5028205448
68	0.502084997
69	0.5008101993
70	0.4993591309
71	0.497748057
72	0.4961598184
73	0.494430436
74	0.4926278856
75	0.4911151992
76	0.4893399874
77	0.4877498415
78	0.4863860342
79	0.4851190779
80	0.4838415782
81	0.4819423358
82	0.4806048605
83	0.4792440203
84	0.4779096709
85	0.4765759574
86	0.4756082959
87	0.4744613436
88	0.4729806052
89	0.4717176225
90	0.4702078501
91	0.4687369665
92	0.4672779507
93	0.4663994577
94	0.4650291867
95	0.4637232886
96	0.4624145296
97	0.4610322316
98	0.459839344
99	0.4588197602
100	0.457848337
101	0.4566947089
102	0.4556509654
103	0.4544504484
104	0.4531390932
105	0.4518158171
106	0.4507741928
107	0.4499665366
108	0.4487664964
109	0.4478535122
110	0.4466020796
111	0.4459276199
112	0.4451246262
113	0.4438671536
114	0.4430380397
115	0.4422660934
116	0.4412560993
117	0.4399632348
118	0.4388316737
119	0.4380477005
120	0.4375054042
121	0.4366783831
122	0.4361014896
123	0.4350632562
124	0.4342392815
125	0.4334061146
126	0.4326754676
127	0.4318632285
128	0.4309306675
129	0.4302368429
130	0.4295617474
131	0.4288132721
132	0.4281289313
133	0.4272166358
134	0.4264117347
135	0.4257200559
136	0.4249347316
137	0.4242464436
138	0.4233874215
139	0.4225741757
140	0.4217798975
141	0.4208360248
142	0.4202584955
143	0.4197162522
144	0.4191389614
145	0.4184795221
146	0.4180481699
147	0.4171055688
148	0.4164559576
149	0.4159651862
150	0.4152020878
151	0.4145792855
152	0.4134747452
153	0.4127421379
154	0.4120666186
155	0.4113939073
156	0.4105385145
157	0.4102062914
158	0.4093009896
159	0.4087033272
160	0.407979091
161	0.40745057
162	0.4068124824
163	0.4060602453
164	0.4053766198
165	0.404791885
166	0.404173851
167	0.4035072327
168	0.4027576711
169	0.4020531442
170	0.4017271731
171	0.4008716212
172	0.4001186689
173	0.3995704121
174	0.3990015189
175	0.3985744052
176	0.3978186713
177	0.3970971637
178	0.3966031075
179	0.3960672485
180	0.3955857224
181	0.3946871758
182	0.3941303094
183	0.3933256467
184	0.392575264
185	0.3920903736
186	0.3913215531
187	0.3907453219
188	0.3903132545
189	0.3896717495
190	0.3888291253
191	0.3881601228
192	0.3876039982
193	0.3870234489
194	0.3864610195
195	0.3860278924
196	0.3854130109
197	0.3849143717
198	0.3843895594
199	0.3837465445
200	0.3832051489
201	0.3824116919
202	0.3821209007
203	0.3816438516
204	0.3812644747
205	0.3808256785
206	0.3800670836
207	0.3795470926
208	0.3790522946
209	0.3785511918
210	0.3780217436
211	0.3772470421
212	0.3766798443
213	0.3762584792
214	0.375626564
215	0.374944422
216	0.3744526704
217	0.3740549617
218	0.3736330138
219	0.3731080161
220	0.3726592329
221	0.3721652296
222	0.3717489243
223	0.371349838
224	0.3709055583
225	0.3706310855
226	0.3700327873
227	0.3693999714
228	0.3688269456
229	0.3684474892
230	0.3679440551
231	0.3675400946
232	0.3670508067
233	0.3667479091
234	0.3661835459
235	0.3655543857
236	0.3651114835
237	0.3647777769
238	0.3643657366
239	0.3640642961
240	0.3636315664
241	0.3630652957
242	0.3626032935
243	0.3623841074
244	0.362017817
245	0.3615796036
246	0.3610823949
247	0.3607531654
248	0.3601711591
249	0.3599008454
250	0.3594013585
251	0.3591592312
252	0.3588658439
253	0.3584789435
254	0.3580827448
255	0.3578009076
256	0.3574003908
257	0.35708793
258	0.3564456039
259	0.3560468886
260	0.355581522
261	0.3552357886
262	0.355036709
263	0.3544973267
264	0.3541440964
265	0.3538712131
266	0.353577031
267	0.3530784713
268	0.3524816831
269	0.3521302011
270	0.3518126276
271	0.3511549632
272	0.350607978
273	0.3504376147
274	0.350291729
275	0.3497780694
276	0.3493209415
277	0.348953512
278	0.3486004406
279	0.3484465811
280	0.3480108844
281	0.3472730849
282	0.3465662532
283	0.346218586
284	0.3459489875
285	0.3456008169
286	0.3451568815
287	0.3446421623
288	0.3443535434
289	0.3441945712
290	0.3438942167
291	0.3435823652
292	0.3430801498
293	0.3426433404
294	0.3423435423
295	0.3419246938
296	0.3416732682
297	0.341238949
298	0.3409929011
299	0.3406837516
300	0.3404143651
301	0.3401015864
302	0.339955012
303	0.3395395279
304	0.3393118117
305	0.3388294114
306	0.3385770056
307	0.3383375274
308	0.3379107051
309	0.3374372588
310	0.3372073968
311	0.336760203
312	0.3363793161
313	0.3358579212
314	0.3355169031
315	0.3352869352
316	0.335088253
317	0.3345932166
318	0.3344221115
319	0.3341459963
320	0.3338838153
321	0.3335091803
322	0.3332378864
323	0.3329798381
324	0.3324649599
325	0.3319325182
326	0.3316443231
327	0.3312740326
328	0.3309848573
329	0.330684132
330	0.3303952217
331	0.330025461
332	0.3297030131
333	0.329404513
334	0.3290817473
335	0.3288100031
336	0.3285041385
337	0.3282736142
338	0.3280228244
339	0.3278678258
340	0.3275771406
341	0.327231831
342	0.3268480831
343	0.3265970283
344	0.3263702657
345	0.326291932
346	0.3260179891
347	0.3257406023
348	0.3255534437
349	0.3251707024
350	0.324822002
351	0.324390067
352	0.3242958652
353	0.3241935836
354	0.3237864706
355	0.3236002922
356	0.3233668009
357	0.3230026563
358	0.3226620356
359	0.322459009
360	0.3220872349
361	0.3218826983
362	0.3216240671
363	0.321442869
364	0.3211124208
365	0.3209472497
366	0.3206880358
367	0.3204639753
368	0.3201524152
369	0.3199468454
370	0.3197570907
371	0.3192832735
372	0.3188643456
373	0.3187689516
374	0.3185225593
375	0.3183882501
376	0.3181593418
377	0.3178309335
378	0.3175969919
379	0.3173534075
380	0.3171028031
381	0.3168725967
382	0.3165977001
383	0.3162748549
384	0.3159101539
385	0.3157013787
386	0.3154802852
387	0.3152309789
388	0.3148184617
389	0.3143835862
390	0.3141464657
391	0.3139674134
392	0.3137502935
393	0.3135856522
394	0.3133294317
395	0.3131011592
396	0.3128590054
397	0.3126723766
398	0.3123046822
399	0.3120913241
400	0.311712265
401	0.311566035
402	0.3112528854
403	0.3108060625
404	0.3106500043
405	0.3102777534
406	0.3099346161
407	0.3096608586
408	0.3094645076
409	0.309033023
410	0.3087631861
411	0.3085625966
412	0.3083522055
413	0.3080308172
414	0.3077734311
415	0.3075849745
416	0.3072184192
417	0.3070608245
418	0.3065600395
419	0.306177881
420	0.3060738775
421	0.3059395684
422	0.3056195842
423	0.3053657744
424	0.3050990899
425	0.3048444854
426	0.304533826
427	0.3043442832
428	0.3041113747
429	0.303936349
430	0.3036882612
431	0.3034651015
432	0.3031641112
433	0.3029051357
434	0.3027378718
435	0.3025301827
436	0.3023725086
437	0.3021336132
438	0.3019688394
439	0.3017866347
440	0.3016247484
441	0.3014277087
442	0.3011953566
443	0.3009329902
444	0.3006879224
445	0.3004213969
446	0.3001096778
447	0.2998988628
448	0.2996818225
449	0.2992764844
450	0.2990304099
451	0.2986748483
452	0.2983949449
453	0.2982134289
454	0.298047887
455	0.2977554798
456	0.29750318
457	0.2971949312
458	0.2969547378
459	0.2967399226
460	0.2965300878
461	0.2962434027
462	0.2959946526
463	0.2956900862
464	0.2954648071
465	0.2952614625
466	0.2950993644
467	0.2948959668
468	0.2946190834
469	0.2943823073
470	0.2942725552
471	0.2941422727
472	0.2938586341
473	0.2937018077
474	0.2935277091
475	0.2932212618
476	0.2929875851
477	0.2928617265
478	0.2926433881
479	0.2924501101
480	0.2921737565
481	0.2918816408
482	0.2917241785
483	0.2914597723
484	0.2912607988
485	0.2911251386
486	0.2909184562
487	0.2907411257
488	0.2904358175
489	0.2902904087
490	0.2899817891
491	0.2897187604
492	0.2896332211
493	0.2894434929
494	0.2893550661
495	0.2892240418
496	0.2890263134
497	0.2887770335
498	0.2884173658
499	0.2881235547
500	0.2878859838
501	0.2877003087
502	0.2874655194
503	0.2872704135
504	0.2870748043
505	0.2867571513
506	0.2864962154
507	0.286217769
508	0.285905785
509	0.2856624921
510	0.285457929
511	0.2852990627
512	0.2850041125
513	0.2848154969
514	0.2845800718
515	0.2844822142
516	0.2842460738
517	0.2840361065
518	0.2838263512
519	0.2835913234
520	0.283273485
521	0.2830055025
522	0.282876571
523	0.2827212546
524	0.2826206949
525	0.282441881
526	0.2821791967
527	0.2817960845
528	0.2816224098
529	0.2814188533
530	0.2811980777
531	0.2808362113
532	0.2806735039
533	0.2804474831
534	0.280254311
535	0.279952844
536	0.2798508008
537	0.2795155313
538	0.2791816394
539	0.27892926
540	0.2787498633
541	0.2785696983
542	0.2782796754
543	0.278068622
544	0.2777662807
545	0.2775134246
546	0.2773252063
547	0.2772807545
548	0.2770343886
549	0.2769079738
550	0.2766699791
551	0.2764263153
552	0.2762586276
553	0.2759065098
554	0.2757937643
555	0.2754416466
556	0.2751716243
557	0.2750557794
558	0.2747510274
559	0.2745784654
560	0.2743688689
561	0.274252918
562	0.2741164896
563	0.2739185227
564	0.2737164762
565	0.2735939026
566	0.2734195391
567	0.2732712428
568	0.2730727196
569	0.2730229696
570	0.272813744
571	0.2726813952
572	0.2724706067
573	0.2723064158
574	0.2721074157
575	0.271782981
576	0.2717203829
577	0.2712863021
578	0.2710901366
579	0.270881282
580	0.2707093027
581	0.2705277337
582	0.2702945338
583	0.2699501779
584	0.2697621981
585	0.2695505354
586	0.2692689366
587	0.2691336208
588	0.2689046595
589	0.2687194082
590	0.2685449918
591	0.268172635
592	0.2679290771
593	0.2677588463
594	0.2676039007
595	0.2674624655
596	0.2672772937
597	0.2670973937
598	0.2669649654
599	0.2668613593
600	0.266570727
601	0.2664531602
602	0.2663063208
603	0.2662418683
604	0.2659653558
605	0.2657669385
606	0.2656809224
607	0.2655785878
608	0.2653911644
609	0.2651673423
610	0.2649487389
611	0.2647570239
612	0.2645899985
613	0.2644049856
614	0.2642526362
615	0.2641075982
616	0.2636656761
617	0.2632584837
618	0.2631459766
619	0.262794786
620	0.2626225419
621	0.262515227
622	0.2624423239
623	0.2622279856
624	0.2621559302
625	0.2617619038
626	0.2613451216
627	0.2611944411
628	0.2610184881
629	0.2607564396
630	0.2606083287
631	0.2604981263
632	0.2602360513
633	0.2598927816
634	0.2597357697
635	0.2593721284
636	0.2590821584
637	0.2589712408
638	0.258882814
639	0.2588189443
640	0.2586532699
641	0.2585141394
642	0.258398056
643	0.2583109538
644	0.2581810157
645	0.2581159274
646	0.2578691377
647	0.2577260865
648	0.2575907442
649	0.2575287819
650	0.2573388947
651	0.2571166886
652	0.256898933
653	0.2567579746
654	0.2566649914
655	0.2565528287
656	0.2561781141
657	0.2558840911
658	0.2556947867
659	0.255469958
660	0.2552792231
661	0.2551432186
662	0.255007161
663	0.2547381189
664	0.2544337644
665	0.2541557683
666	0.2540214062
667	0.2538274659
668	0.2535030047
669	0.2533570925
670	0.2530988322
671	0.2528408368
672	0.2526664204
673	0.2524122927
